question,category
Gue ngerasa susah buat tenang atau santai,stress
Gue ngerasa mulut kering (padahal gak haus/abis lari),anxiety
Gue ngerasa nggak ada perasaan positif atau seneng sama sekali,depression
Gue ngerasa sesek napas atau susah napas padahal lagi nggak capek,anxiety
Gue ngerasa susah banget buat mulai ngelakuin sesuatu (gak ada tenaga),depression
Gue cenderung bereaksi berlebihan terhadap suatu situasi,stress
Gue ngerasa gemeteran (misalnya di tangan),anxiety
Gue ngerasa pake banyak banget energi buat gelisah,stress
Gue khawatir sama situasi yang bisa bikin gue panik atau malu,anxiety
Gue ngerasa nggak ada hal baik yang bisa diharapkan di masa depan,depression
Gue ngerasa gampang banget kesal atau marah,stress
Gue ngerasa gampang ngerasa sedih atau murung,depression
Gue ngerasa nggak sabaran kalau ada yang bikin rencana gue terhambat,stress
Gue ngerasa kayak mau pingsan atau lemes banget,anxiety
Gue ngerasa kehilangan minat sama hampir semua hal,depression
Gue ngerasa diri gue nggak berharga sebagai manusia,depression
Gue ngerasa gampang tersinggung,stress
Gue ngerasa jantung berdegup kencang padahal nggak abis olahraga,anxiety
Gue ngerasa takut tanpa alasan yang jelas,anxiety
Gue ngerasa hidup ini nggak ada artinya lagi,depression
Gue ngerasa sulit banget buat istirahat dengan tenang,stress
