question,category
I found it hard to wind down,stress
I was aware of dryness of my mouth,anxiety
I couldn't seem to experience any positive feeling at all,depression
I experienced breathing difficulty,anxiety
I found it difficult to work up the initiative to do things,depression
I tended to over-react to situations,stress
I experienced trembling (e.g. in the hands),anxiety
I felt that I was using a lot of nervous energy,stress
I was worried about situations in which I might panic and make a fool of myself,anxiety
I felt that I had nothing to look forward to,depression
I found myself getting agitated,stress
I felt down-hearted and blue,depression
I was intolerant of anything that kept me from getting on with what I was doing,stress
I felt I was close to panic,anxiety
I was unable to become enthusiastic about anything,depression
I felt I wasn't worth much as a person,depression
I felt that I was rather touchy,stress
I was aware of the action of my heart in the absence of physical exertion,anxiety
I felt scared without any good reason,anxiety
I felt that life was meaningless,depression
I found it difficult to relax,stress
